"0","2230850257","Thu Jun 18 17:41:40 PDT 2009","NO_QUERY","tiffyfone","Good bye Dirt Cheap    November 30, 2003 - June 18, 2009.   I will miss you. Tiffany"
"4","2014948225","Wed Jun 03 03:12:52 PDT 2009","NO_QUERY","ArumK","@alyshaathia My darling.. How are you? I miss you  please do visit school!"
"4","1825885213","Sun May 17 07:07:28 PDT 2009","NO_QUERY","StevieHart","@Damian2278 Ella and Louis over here "
"0","1979525979","Sun May 31 03:25:39 PDT 2009","NO_QUERY","MJAllansson","Just sunned on my balcony and burned myself so now i look like a pig  &lt;3"
"0","2329084573","Thu Jun 25 10:19:55 PDT 2009","NO_QUERY","Nevidge20","@TickingTimeBomb See hes not verified but hes got these candid tweetpics so i don't know what to do....  Hows Steph? "
"4","1932311414","Tue May 26 21:13:10 PDT 2009","NO_QUERY","SCHRAL","Watching Degrassi before bed...even though I've seen these episodes already. Can't get enough  Oh yea, brought my GPA up to 3.38!!! Yay!"
"4","1678574547","Sat May 02 07:07:43 PDT 2009","NO_QUERY","FindingFamily","Heading to the STL Zoo with @CSwann1776, hubby if you didn't know.    So excited the rain has stayed away, thus far!!!!"
"0","2264799394","Sun Jun 21 04:58:41 PDT 2009","NO_QUERY","salmonpuff","2 hours...I wish time would hurry up and go "
"4","1999728790","Mon Jun 01 20:43:04 PDT 2009","NO_QUERY","bfarley5x5","@dichenlachman poor fx - you should watch Merlin or Dexter, next best shows to Dollhouse. "
"4","2006103836","Tue Jun 02 10:39:47 PDT 2009","NO_QUERY","NikkiBurrrr","I wanna crawl in bed and just cuddle "
"0","2064789771","Sun Jun 07 07:10:28 PDT 2009","NO_QUERY","KrizzyB","My feets, my legs and my toe hurt! And i gotta walk home! "
"0","2238303823","Fri Jun 19 07:06:02 PDT 2009","NO_QUERY","GTChin","@Sunstreaker84 sorta agree with u about TwtDck. Doesn't seem like there will be a perfect Twitter app on the iPhone.  î?"
"0","2001403171","Tue Jun 02 00:46:14 PDT 2009","NO_QUERY","funkyfreshnik","Oh shoot- it's &quot;In it to Win it.&quot; Boo "
"0","1969479375","Sat May 30 00:09:59 PDT 2009","NO_QUERY","rytandem","so saddddddddddddddddd... cause im not gonna be able to see my couzin jaron graduate in person.. waahhhh! "
"4","2052917150","Sat Jun 06 02:32:15 PDT 2009","NO_QUERY","rebeccamezzino","@Zut_Radio Welll, plastic bags and old ugly bags are two different things. And of course even old ugly bags are beautiful on the inside "
"0","2058806644","Sat Jun 06 15:39:56 PDT 2009","NO_QUERY","ryanissxcraddd","I was kidding baby. "
"0","2258747170","Sat Jun 20 16:25:54 PDT 2009","NO_QUERY","LauraxXo","I wish Federer had a Twitter, I really do. "
"4","2180575333","Mon Jun 15 10:39:25 PDT 2009","NO_QUERY","LittleLiverbird","@LeanneBarbery Hiya! How's your day been? Any sunshine by you?! "
"4","1978418824","Sat May 30 23:17:57 PDT 2009","NO_QUERY","Cindy612","Vodka and cranerry/ raspberry...Yummmmm "
"4","1826452363","Sun May 17 08:32:43 PDT 2009","NO_QUERY","twliciousness"," @CranberryPerson Dear hyper chihuahua, we only have 45 minutes left together on this drive, but I have a .. http://tr.im/lAj6"
"4","2188597722","Mon Jun 15 22:11:34 PDT 2009","NO_QUERY","MissMagical","@johnbernos Seriously dude. Let's get jobs back at Disneyland! I mean, we can still be with RD too if we're seasonal right? "
"4","1881032013","Fri May 22 03:21:52 PDT 2009","NO_QUERY","Joffff","@get_the_juice  welcome to Peterborough "
"4","2069343233","Sun Jun 07 15:42:12 PDT 2009","NO_QUERY","Arsenette","@uNCLEsAM098 .. my personal blog.. not the Sasuke one "
"4","1468022324","Mon Apr 06 23:18:19 PDT 2009","NO_QUERY","Disaster08","http://twitpic.com/2y3v4 - vote for Gilles Marini on Dancing with the Stars! "
"0","2191193392","Tue Jun 16 04:44:20 PDT 2009","NO_QUERY","berryanarchy","ah the good old Monday blues I'm not even back at work and i have them "
"0","1991538444","Mon Jun 01 07:13:12 PDT 2009","NO_QUERY","MitaliandMe","I think @maureenjohnson gave merge LeakyFlu but it could be the BEA cold! "
"4","1984312825","Sun May 31 14:51:41 PDT 2009","NO_QUERY","Geekwife","Dinner is pot roast in the crock pot. I feeled relaxed! "
"0","1997455012","Mon Jun 01 16:52:50 PDT 2009","NO_QUERY","azinkid","wish someone was able to wash my clothes right now.. all the washers are full. . .     I'm out of clean PT uniforms"
"0","2061881707","Sat Jun 06 21:49:43 PDT 2009","NO_QUERY","sfgiants314","@dgrantdotcom Goddamnit last time I was there and it was amazing. Saw the private session as well. Too bad couldn't make it this year. "
"4","1792721555","Thu May 14 00:01:32 PDT 2009","NO_QUERY","chioyoface","@yozhio that's why we're toqayas and we rulz the nation  yo tambien!"
"4","2066867177","Sun Jun 07 11:19:06 PDT 2009","NO_QUERY","alexisstar22","@marklane31                  he he!! how many of those questions av u seen tht involve u??? theres loads!!"
"4","2183499245","Mon Jun 15 14:35:22 PDT 2009","NO_QUERY","fotobrad","@MissSummer i totally LOVE voodoo doughnuts!!  it was a primary destination of mine when i went to portland in september "
"4","1969115902","Fri May 29 23:04:20 PDT 2009","NO_QUERY","b1brittany","@Impostersbeware Thanks.  You really never know these days do you?"
"4","1997399087","Mon Jun 01 16:46:54 PDT 2009","NO_QUERY","nanaIStrouble","@valholla i woke up and was able to tweet you "
"4","2063287499","Sun Jun 07 02:03:40 PDT 2009","NO_QUERY","priyankawriting","@LimeIce I wasnt waiting long, I dug up their mobile numbers thru common known tweeple... "
"4","1982517454","Sun May 31 11:22:05 PDT 2009","NO_QUERY","superduperkya","shopping online, what my mom doesnt know wont hurt her, plus this is what she gets for giving away my winter clothes hehe "
"4","1881129167","Fri May 22 03:41:54 PDT 2009","NO_QUERY","darraghdoyle","@stef Just registered that in case "
"0","1996858149","Mon Jun 01 15:49:10 PDT 2009","NO_QUERY","HeatherLWillard","Is home listening to a screaming toddler....HELP "
"4","2068257991","Sun Jun 07 13:46:20 PDT 2009","NO_QUERY","karirodri","just got twitter "
"4","1973709663","Sat May 30 11:40:50 PDT 2009","NO_QUERY","LittleBitTwistd","@TizzySizzleberg hiya baby!!!  how goes???"
"0","2204520756","Wed Jun 17 02:26:03 PDT 2009","NO_QUERY","twitt2806","@MarloPerry thanks for the heads up re the Basco cake mixes. There's a chocolate one the kids demolished which isn't kindy friendly "
